name	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
152	contig00001	41247	41777	+	emrR	1-531/531	===============	0/0	100.00	86.25	card	U00096.3:2810770-2811301	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	rifamycin/nitroimidazole/nucleoside/macrolide/penam/bicyclomycin/antibacterial_free_fatty_acids/diaminopyrimidine/lincosamide/isoniazid/benzalkonium_chloride/fosfomycin/glycylcycline/phenicol/cephalosporin/fluoroquinolone/oxazolidinone/acridine_dye/tetracycline/rhodamine/peptide
152	contig00001	41908	43080	+	emrA	1-1173/1173	========/======	2/2	99.91	82.45	card	AP009048:2810083-2811256	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	benzalkonium_chloride/isoniazid/lincosamide/diaminopyrimidine/bicyclomycin/antibacterial_free_fatty_acids/penam/macrolide/nucleoside/nitroimidazole/rifamycin/peptide/rhodamine/acridine_dye/oxazolidinone/tetracycline/fluoroquinolone/cephalosporin/phenicol/glycylcycline/fosfomycin
152	contig00001	43097	44635	+	emrB	1-1539/1539	========/======	2/2	99.94	84.67	card	U00096:2812616-2814155	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	rhodamine/peptide/fosfomycin/glycylcycline/phenicol/cephalosporin/fluoroquinolone/tetracycline/acridine_dye/oxazolidinone/antibacterial_free_fatty_acids/bicyclomycin/diaminopyrimidine/lincosamide/isoniazid/benzalkonium_chloride/rifamycin/nitroimidazole/nucleoside/macrolide/penam
152	contig00003	33053	33979	-	pmrF	22-948/969	===============	0/0	95.67	80.26	card	U00096:2367071-2368040	PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	peptide
152	contig00003	64570	66209	+	yojI	1-1640/1644	========/======	2/4	99.64	80.75	card	U00096.3:2306972-2308616	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide/nitroimidazole/rifamycin/pleuromutilin/penam/fluoroquinolone/cephalosporin/macrolide/tetracycline/acridine_dye
152	contig00004	92529	93686	+	Escherichia_coli_ampH	1-1158/1158	===============	0/0	100.00	80.57	card	AP012030.1:395554-396712	AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.	cephalosporin/penam
152	contig00005	80428	81100	-	kdpE	1-673/678	===============	0/0	99.26	80.09	card	U00096.3:721056-721734	kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.	aminoglycoside
152	contig00006	146241	146611	+	marA	1-371/384	===============	0/0	96.61	85.98	card	AP009048.1:1621288-1621672	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	antibacterial_free_fatty_acids/penem/diaminopyrimidine/macrolide/penam/rifamycin/cephamycin/aminocoumarin/carbapenem/aminoglycoside/cephalosporin/fluoroquinolone/tetracycline/triclosan/acridine_dye/monobactam/glycylcycline/phenicol
152	contig00010	118167	118981	+	bacA	1-818/822	========/======	4/7	98.91	83.29	card	U00096.3:3203310-3204132	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
152	contig00011	57779	59145	+	cpxA	1-1367/1374	===============	0/0	99.49	85.08	card	BA000007.3:4903689-4905063	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	acridine_dye/tetracycline/triclosan/macrolide/fluoroquinolone/penam/glycylcycline/monobactam/phenicol/aminocoumarin/diaminopyrimidine/carbapenem/aminoglycoside/antibacterial_free_fatty_acids
