name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
152	  0.68	2	2	U	0	unclassified
152	 99.32	290	21	R	1	root
152	 92.12	269	0	R1	131567	  cellular organisms
152	 92.12	269	3	D	2	    Bacteria
152	 91.10	266	2	P	1224	      Proteobacteria
152	 90.41	264	22	C	1236	        Gammaproteobacteria
152	 82.53	241	46	O	91347	          Enterobacterales
152	 65.75	192	39	F	543	            Enterobacteriaceae
152	 46.23	135	15	G	544	              Citrobacter
152	 40.75	119	15	G1	1344959	                Citrobacter freundii complex
152	 33.56	98	92	S	546	                  Citrobacter freundii
152	  2.05	6	6	S1	1333848	                    Citrobacter freundii CFNIH1
152	  1.37	4	4	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
152	  0.34	1	1	S	67827	                  Citrobacter werkmanii
152	  0.34	1	1	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
152	  0.34	1	1	S	1920110	                Citrobacter sp. CFNIH10
152	  2.40	7	0	G	561	              Escherichia
152	  2.40	7	7	S	562	                Escherichia coli
152	  1.71	5	0	G	570	              Klebsiella
152	  1.03	3	3	S	573	                Klebsiella pneumoniae
152	  0.34	1	1	S	571	                Klebsiella oxytoca
152	  0.34	1	1	S	1905288	                Klebsiella sp. LTGPAF-6F
152	  1.37	4	0	G	590	              Salmonella
152	  1.37	4	0	S	28901	                Salmonella enterica
152	  1.37	4	0	S1	59201	                  Salmonella enterica subsp. enterica
152	  0.68	2	0	S2	340190	                    Salmonella enterica subsp. enterica serovar Schwarzengrund
152	  0.68	2	2	S3	439843	                      Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
152	  0.34	1	1	S2	46626	                    Salmonella enterica subsp. enterica serovar Give
152	  0.34	1	0	S2	1242079	                    Salmonella enterica subsp. enterica serovar Apapa
152	  0.34	1	1	S3	1242088	                      Salmonella enterica subsp. enterica serovar Apapa str. SA20060561
152	  0.34	1	0	G	547	              Enterobacter
152	  0.34	1	1	G1	354276	                Enterobacter cloacae complex
152	  0.34	1	0	G	83654	              Leclercia
152	  0.34	1	1	S	1920114	                Leclercia sp. LSNIH1
152	  0.68	2	0	F	1903409	            Erwiniaceae
152	  0.34	1	0	G	551	              Erwinia
152	  0.34	1	0	S	182337	                Erwinia billingiae
152	  0.34	1	1	S1	634500	                  Erwinia billingiae Eb661
152	  0.34	1	0	G	53335	              Pantoea
152	  0.34	1	0	S	66269	                Pantoea stewartii
152	  0.34	1	0	S1	66271	                  Pantoea stewartii subsp. stewartii
152	  0.34	1	1	S2	660596	                    Pantoea stewartii subsp. stewartii DC283
152	  0.34	1	0	F	1903412	            Hafniaceae
152	  0.34	1	0	G	635	              Edwardsiella
152	  0.34	1	1	S	93378	                Edwardsiella hoshinae
152	  0.34	1	0	O	135624	          Aeromonadales
152	  0.34	1	0	F	84642	            Aeromonadaceae
152	  0.34	1	0	G	642	              Aeromonas
152	  0.34	1	0	S	651	                Aeromonas media
152	  0.34	1	1	S1	1208104	                  Aeromonas media WS
154	  0.38	1	1	U	0	unclassified
154	 99.62	264	18	R	1	root
154	 92.83	246	0	R1	131567	  cellular organisms
154	 92.83	246	1	D	2	    Bacteria
154	 92.45	245	2	P	1224	      Proteobacteria
154	 91.70	243	11	C	1236	        Gammaproteobacteria
154	 87.17	231	47	O	91347	          Enterobacterales
154	 68.30	181	39	F	543	            Enterobacteriaceae
154	 46.79	124	11	G	544	              Citrobacter
154	 42.26	112	13	G1	1344959	                Citrobacter freundii complex
154	 35.09	93	87	S	546	                  Citrobacter freundii
154	  2.26	6	6	S1	1333848	                    Citrobacter freundii CFNIH1
154	  1.51	4	4	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
154	  0.38	1	1	S	67827	                  Citrobacter werkmanii
154	  0.38	1	1	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
154	  0.38	1	1	S	1920110	                Citrobacter sp. CFNIH10
154	  2.64	7	0	G	561	              Escherichia
154	  2.64	7	7	S	562	                Escherichia coli
154	  1.89	5	0	G	590	              Salmonella
154	  1.89	5	0	S	28901	                Salmonella enterica
154	  1.89	5	0	S1	59201	                  Salmonella enterica subsp. enterica
154	  1.13	3	0	S2	340190	                    Salmonella enterica subsp. enterica serovar Schwarzengrund
154	  1.13	3	3	S3	439843	                      Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
154	  0.38	1	1	S2	46626	                    Salmonella enterica subsp. enterica serovar Give
154	  0.38	1	0	S2	1242079	                    Salmonella enterica subsp. enterica serovar Apapa
154	  0.38	1	1	S3	1242088	                      Salmonella enterica subsp. enterica serovar Apapa str. SA20060561
154	  1.51	4	0	G	570	              Klebsiella
154	  1.13	3	3	S	573	                Klebsiella pneumoniae
154	  0.38	1	1	S	571	                Klebsiella oxytoca
154	  0.38	1	0	G	547	              Enterobacter
154	  0.38	1	1	G1	354276	                Enterobacter cloacae complex
154	  0.38	1	0	G	83654	              Leclercia
154	  0.38	1	1	S	1920114	                Leclercia sp. LSNIH1
154	  0.75	2	0	F	1903409	            Erwiniaceae
154	  0.38	1	0	G	551	              Erwinia
154	  0.38	1	0	S	182337	                Erwinia billingiae
154	  0.38	1	1	S1	634500	                  Erwinia billingiae Eb661
154	  0.38	1	0	G	53335	              Pantoea
154	  0.38	1	0	S	66269	                Pantoea stewartii
154	  0.38	1	0	S1	66271	                  Pantoea stewartii subsp. stewartii
154	  0.38	1	1	S2	660596	                    Pantoea stewartii subsp. stewartii DC283
154	  0.38	1	0	F	1903412	            Hafniaceae
154	  0.38	1	0	G	635	              Edwardsiella
154	  0.38	1	1	S	93378	                Edwardsiella hoshinae
154	  0.38	1	0	O	135624	          Aeromonadales
154	  0.38	1	0	F	84642	            Aeromonadaceae
154	  0.38	1	0	G	642	              Aeromonas
154	  0.38	1	0	S	645	                Aeromonas salmonicida
154	  0.38	1	0	S1	96473	                  Aeromonas salmonicida subsp. pectinolytica
154	  0.38	1	1	S2	1324960	                    Aeromonas salmonicida subsp. pectinolytica 34mel
155	  4.17	9	9	U	0	unclassified
155	 95.83	207	6	R	1	root
155	 93.06	201	0	R1	131567	  cellular organisms
155	 93.06	201	1	D	2	    Bacteria
155	 92.59	200	2	P	1224	      Proteobacteria
155	 91.67	198	10	C	1236	        Gammaproteobacteria
155	 86.57	187	18	O	91347	          Enterobacterales
155	 77.78	168	36	F	543	            Enterobacteriaceae
155	 56.02	121	5	G	544	              Citrobacter
155	 50.46	109	15	G1	1344959	                Citrobacter freundii complex
155	 38.89	84	84	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
155	  1.85	4	4	S	57706	                  Citrobacter braakii
155	  1.39	3	3	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
155	  0.93	2	2	S	546	                  Citrobacter freundii
155	  0.46	1	1	S	2077149	                  Citrobacter freundii complex sp. CFNIH9
155	  1.39	3	3	S	545	                Citrobacter koseri
155	  1.39	3	3	S	35703	                Citrobacter amalonaticus
155	  0.46	1	1	S	1703250	                Citrobacter sp. CRE-46
155	  3.24	7	0	G	561	              Escherichia
155	  3.24	7	6	S	562	                Escherichia coli
155	  0.46	1	1	S1	585034	                  Escherichia coli IAI1
155	  0.93	2	0	G	590	              Salmonella
155	  0.93	2	1	S	28901	                Salmonella enterica
155	  0.46	1	0	S1	59201	                  Salmonella enterica subsp. enterica
155	  0.46	1	0	S2	340190	                    Salmonella enterica subsp. enterica serovar Schwarzengrund
155	  0.46	1	1	S3	439843	                      Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
155	  0.46	1	0	G	547	              Enterobacter
155	  0.46	1	0	G1	354276	                Enterobacter cloacae complex
155	  0.46	1	0	S	158836	                  Enterobacter hormaechei
155	  0.46	1	1	S1	1296536	                    Enterobacter hormaechei subsp. xiangfangensis
155	  0.46	1	0	G	570	              Klebsiella
155	  0.46	1	1	S	571	                Klebsiella oxytoca
155	  0.46	1	0	F	1903409	            Erwiniaceae
155	  0.46	1	0	G	53335	              Pantoea
155	  0.46	1	1	S	1891675	                Pantoea alhagi
155	  0.46	1	0	O	135624	          Aeromonadales
155	  0.46	1	0	F	84642	            Aeromonadaceae
155	  0.46	1	0	G	642	              Aeromonas
155	  0.46	1	1	S	1636609	                Aeromonas sp. ASNIH4
156	  0.48	1	1	U	0	unclassified
156	 99.52	207	10	R	1	root
156	 94.71	197	0	R1	131567	  cellular organisms
156	 94.23	196	1	D	2	    Bacteria
156	 93.75	195	2	P	1224	      Proteobacteria
156	 92.79	193	5	C	1236	        Gammaproteobacteria
156	 90.38	188	13	O	91347	          Enterobacterales
156	 84.13	175	23	F	543	            Enterobacteriaceae
156	 64.42	134	2	G	544	              Citrobacter
156	 62.98	131	16	G1	1344959	                Citrobacter freundii complex
156	 51.44	107	106	S	546	                  Citrobacter freundii
156	  0.48	1	1	S1	1333848	                    Citrobacter freundii CFNIH1
156	  2.40	5	5	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
156	  0.48	1	1	S	67827	                  Citrobacter werkmanii
156	  0.48	1	1	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
156	  0.48	1	1	S	2077149	                  Citrobacter freundii complex sp. CFNIH9
156	  0.48	1	1	S	35703	                Citrobacter amalonaticus
156	  2.88	6	1	G	570	              Klebsiella
156	  0.96	2	2	S	571	                Klebsiella oxytoca
156	  0.96	2	2	S	573	                Klebsiella pneumoniae
156	  0.48	1	1	S	2026240	                Klebsiella quasivariicola
156	  2.40	5	0	G	561	              Escherichia
156	  2.40	5	4	S	562	                Escherichia coli
156	  0.48	1	1	S1	1446746	                  Escherichia coli O6:H16
156	  1.92	4	0	G	547	              Enterobacter
156	  1.92	4	2	G1	354276	                Enterobacter cloacae complex
156	  0.48	1	1	S	550	                  Enterobacter cloacae
156	  0.48	1	1	S	61645	                  Enterobacter asburiae
156	  1.44	3	0	G	590	              Salmonella
156	  1.44	3	0	S	28901	                Salmonella enterica
156	  1.44	3	0	S1	59201	                  Salmonella enterica subsp. enterica
156	  0.96	2	0	S2	340190	                    Salmonella enterica subsp. enterica serovar Schwarzengrund
156	  0.96	2	2	S3	439843	                      Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633
156	  0.48	1	0	S2	913076	                    Salmonella enterica subsp. enterica serovar Johannesburg
156	  0.48	1	1	S3	1242101	                      Salmonella enterica subsp. enterica serovar Johannesburg str. ST203
156	  0.48	1	0	D	2759	    Eukaryota
156	  0.48	1	0	D1	33154	      Opisthokonta
156	  0.48	1	0	K	33208	        Metazoa
156	  0.48	1	0	K1	6072	          Eumetazoa
156	  0.48	1	0	K2	33213	            Bilateria
156	  0.48	1	0	K3	33511	              Deuterostomia
156	  0.48	1	0	P	7711	                Chordata
156	  0.48	1	0	P1	89593	                  Craniata
156	  0.48	1	0	P2	7742	                    Vertebrata
156	  0.48	1	0	P3	7776	                      Gnathostomata
156	  0.48	1	0	P4	117570	                        Teleostomi
156	  0.48	1	0	P5	117571	                          Euteleostomi
156	  0.48	1	0	P6	8287	                            Sarcopterygii
156	  0.48	1	0	P7	1338369	                              Dipnotetrapodomorpha
156	  0.48	1	0	P8	32523	                                Tetrapoda
156	  0.48	1	0	P9	32524	                                  Amniota
156	  0.48	1	0	C	40674	                                    Mammalia
156	  0.48	1	0	C1	32525	                                      Theria
156	  0.48	1	0	C2	9347	                                        Eutheria
156	  0.48	1	0	C3	1437010	                                          Boreoeutheria
156	  0.48	1	0	C4	314146	                                            Euarchontoglires
156	  0.48	1	0	O	9443	                                              Primates
156	  0.48	1	0	O1	376913	                                                Haplorrhini
156	  0.48	1	0	O2	314293	                                                  Simiiformes
156	  0.48	1	0	O3	9526	                                                    Catarrhini
156	  0.48	1	0	O4	314295	                                                      Hominoidea
156	  0.48	1	0	F	9604	                                                        Hominidae
156	  0.48	1	0	F1	207598	                                                          Homininae
156	  0.48	1	0	G	9605	                                                            Homo
156	  0.48	1	1	S	9606	                                                              Homo sapiens
159	  8.87	18	18	U	0	unclassified
159	 91.13	185	3	R	1	root
159	 89.66	182	0	R1	131567	  cellular organisms
159	 89.66	182	1	D	2	    Bacteria
159	 89.16	181	5	P	1224	      Proteobacteria
159	 86.70	176	14	C	1236	        Gammaproteobacteria
159	 77.34	157	16	O	91347	          Enterobacterales
159	 69.46	141	27	F	543	            Enterobacteriaceae
159	 49.75	101	9	G	544	              Citrobacter
